Author: Swati Ahuja,
Sheet with progress tracking and editorials:  https://thita.ai/dsa-patterns-sheet,
"New patterns added in website soon to be added here in sheet : segment trees, fenwick trees, hashing related, line sweep",
playlist: https://www.youtube.com/watch?v=DKWEYzF2xJU&list=PL2SB3o9_VW78xKoiCPtzLnTWjMOklYlNy ,
Theory for dsa : https://thita.ai/dashboard/learning-path/dsa,
Discord community:  https://discord.gg/zxywjSuvDT ,
,
,
Short on time : follow the 30 day sheet to get a gist of all patterns : https://docs.google.com/spreadsheets/d/1EEYzyD_483B-7CmWxsJB_zycdv4Y5dxnzcoEQtaIfuk/edit?gid=2094977620#gid=2094977620,
,
Pattern,Problems
I. Two Pointer Patterns,
Pattern 1: Converging : video," 11. Container With Most Water, 15. 3Sum, 16. 3Sum Closest, 18. 4Sum, 167. Two Sum II - Input Array Is Sorted, 349. Intersection of Two Arrays,  881. Boats to Save People, 977. Squares of a Sorted Array, 259. 3Sum Smaller"
Pattern 2: Fast & Slow ,"141. Linked List Cycle, 202. Happy Number, 287. Find the Duplicate Number, 392. Is Subsequence,"
Pattern 3: Fixed Separation ,"19. Remove Nth Node From End of List, 876. Middle of the Linked List, 2095. Delete the Middle Node of a Linked List"
Pattern 4: In-place Array Modification,"26. Remove Duplicates from Sorted Array, 27. Remove Element, 75. Sort Colors, 80. Remove Duplicates from Sorted Array II, 283. Move Zeroes, 443. String Compression, 905. Sort Array By Parity, 2337. Move Pieces to Obtain a String, 2938. Separate Black and White Balls"
Pattern 5: String Comparison with  special characters,"844. Backspace String Compare, 1598. Crawler Log Folder , 2390. Removing Stars From a String"
Pattern 6: Expanding From Center,"5. Longest Palindromic Substring, 647. Palindromic Substrings"
Pattern 7: String Reversal,"151. Reverse Words in a String, 344. Reverse String, 345. Reverse Vowels of a String, 541. Reverse String II"
II. Sliding Window Patterns,
Pattern 8: Fixed Size : video,"346. Moving Average from Data Stream, 643. Maximum Average Subarray I, 2985. Calculate Compressed Mean, 3254. Find the Power of K-Size Subarrays I, 3318. Find X-Sum of All K-Long Subarrays I"
Pattern 9: Variable Size ,"3. Longest Substring Without Repeating Characters, 76. Minimum Window Substring, 209. Minimum Size Subarray Sum, 219. Contains Duplicate II, 424. Longest Repeating Character Replacement, 713. Subarray Product Less Than K, 904. Fruit Into Baskets, 1004. Max Consecutive Ones III, 1438. Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit, 1493. Longest Subarray of 1's After Deleting One Element, 1  1658. Minimum Operations to Reduce X to Zero, 1838. Frequency of the Most Frequent Element, 2461. Maximum Sum of Distinct Subarrays With Length K, 2516. Take K of Each Character From Left and Right, 2762. Continuous Subarrays, 2779. Maximum Beauty of an Array After Applying Operation, 2981. Find Longest Special Substring That Occurs Thrice I, 3026. Maximum Good Subarray Sum, 3346. Maximum Frequency of an Element After Performing Operations I, 3347. Maximum Frequency of an Element After Performing Operations II 2 "
Pattern 10: Monotonic Queue for Max/Min,"239. Sliding Window Maximum, 862. Shortest Subarray with Sum at Least K, 1696. Jump Game VI"
Pattern 11: Character Frequency Matching,"1.TwoSum, 438. Find All Anagrams in a String, 567. Permutation in String"
III. Tree Traversal Patterns (DFS & BFS),
Pattern 12: Level Order Traversal,"102. Binary Tree Level Order Traversal, 103. Binary Tree Zigzag Level Order Traversal, 199. Binary Tree Right Side View, 515. Find Largest Value in Each Tree Row, 1161. Maximum Level Sum of a Binary Tree"
Pattern 13: Recursive Preorder Traversal,"100. Same Tree, 101. Symmetric Tree, 105. Construct Binary Tree from Preorder and Inorder Traversal, 114. Flatten Binary Tree to Linked List, 226. Invert Binary Tree, 257. Binary Tree Paths, 988. Smallest String Starting From Leaf"
Pattern 14:  Recursive Inorder Traversal,"94. Binary Tree Inorder Traversal, 98. Validate Binary Search Tree, 173. Binary Search Tree Iterator, 230. Kth Smallest Element in a BST, 501. Find Mode in Binary Search Tree, 530. Minimum Absolute Difference in BST"
Pattern 15: Recursive Postorder Traversal,"104. Maximum Depth of Binary Tree, 110. Balanced Binary Tree, 124. Binary Tree Maximum Path Sum, 145. Binary Tree Postorder Traversal, 337. House Robber III, 366. Find Leaves of Binary Tree, 543. Diameter of Binary Tree, 863. All Nodes Distance K in Binary Tree, 1110. Delete Nodes And Return Forest, 2458. Height of Binary Tree After Subtree Removal Queries"
Pattern 16: Lowest Common Ancestor,"235. Lowest Common Ancestor of a Binary Search Tree, 236. Lowest Common Ancestor of a Binary Tree"
Pattern 17: Serialization and Deserialization,"297. Serialize and Deserialize Binary Tree, 572. Subtree of Another Tree, 652. Find Duplicate Subtrees"
IV. Graph Traversal Patterns (DFS & BFS),
Pattern 18: DFS - Connected Components / Island Counting,"130. Surrounded Regions, 200. Number of Islands, 417. Pacific Atlantic Water Flow, 547. Number of Provinces, 695. Max Area of Island, 733. Flood Fill, 841. Keys and Rooms, 1020. Number of Enclaves, 1254. Number of Closed Islands, 1905. Count Sub Islands, 2101. Detonate the Maximum Bombs"
Pattern 19: BFS - Connected Components / Island Counting," 542. 01 Matrix, 994. Rotting Oranges, 1091. Shortest Path in Binary Matrix"
Pattern 20: DFS - Cycle Detection ,"207. Course Schedule, 210. Course Schedule II, 802. Find Eventual Safe States, 1059. All Paths from Source Lead to Destination"
Pattern 21: BFS - Topological Sort(Kahn's Algorithm),"210. Course Schedule II, 269. Alien Dictionary, 310. Minimum Height Trees, 444. Sequence Reconstruction, 1136. Parallel Courses, 1857. Largest Color Value in a Directed Graph, 2050. Parallel Courses III, 2115. Find All Possible Recipes from Given Supplies, 2392. Build a Matrix With Conditions"
Pattern 22: Deep Copy / Cloning,"133. Clone Graph,1334. Find the City With the Smallest Number of Neighbors at a Threshold Distance, 138. Copy List with Random Pointer,1490. Clone N-ary Tree"
Pattern 23: Shortest Path ,"743. Network Delay Time, 778. Swim in Rising Water, 1514. Path with Maximum Probability, 1631. Path With Minimum Effort, 1976. Number of Ways to Arrive at Destination, 2045. Second Minimum Time to Reach Destination, 2203. Minimum Weighted Subgraph With the Required Paths, 2290. Minimum Obstacle Removal to Reach Corner, 2577. Minimum Time to Visit a Cell In a Grid, 2812. Find the Safest Path in a Grid"
Pattern 24: Shortest Path (Bellman-Ford / BFS+K),"787. Cheapest Flights Within K Stops,1129. Shortest Path with Alternating Colors"
Pattern 25: Union-Find ,"200. Number of Islands, 261. Graph Valid Tree, 305. Number of Islands II, 323. Number of Connected Components in an Undirected Graph, 3  547. Number of Provinces, 684. Redundant Connection, 4  721. Accounts Merge, 737. Sentence Similarity II, 947. Most Stones Removed with Same Row or Column, 952. Largest Component Size by Common Factor, 959. Regions Cut By Slashes, 1101. The Earliest Moment When Everyone Become Friends"
Pattern 26: Strongly Connected Components (Kosaraju / Tarjan),"210. Course Schedule II, 547. Number of Provinces, 1192. Critical Connections in a Network, 2127. Maximum Employees to Be Invited to a Meeting"
Pattern 27: Bridges & Articulation Points (Tarjan low-link),"1192. Critical Connections in a Network, 2360. Longest Cycle in a Graph"
Pattern 28: Minimum Spanning Tree (Kruskal / Prim / DSU + heap),"1135. Connecting Cities With Minimum Cost, 1584. Min Cost to Connect All Points,1168. Optimize Water Distribution in a Village,1489. Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree"
Pattern 29: Bidirectional BFS ,"127. Word Ladder, 126. Word Ladder II, 815. Bus Routes"
V. Dynamic Programming (DP) Patterns,
Pattern 30: Fibonacci Style,"70. Climbing Stairs, 91. Decode Ways, 198. House Robber, 213. House Robber II, 337. House Robber III, 509. Fibonacci Number, 740. Delete and Earn, 746. Min Cost Climbing Stairs"
Pattern 31: Kadane's Algorithm for Max/Min Subarray,"53. Maximum Subarray, 918. Maximum Sum Circular Subarray, 2321. Maximum Score Of Spliced Array,1749. Maximum Absolute Sum of Any Subarray, 152. Maximum Product Subarray"
Pattern 32: Coin Change / Unbounded Knapsack Style,"322. Coin Change, 377. Combination Sum IV, 518. Coin Change II"
"Pattern 33: 0/1 Knapsack, Subset Sum Style","416. Partition Equal Subset Sum, 494. Target Sum"
Pattern 34: Word Break Style,"139. Word Break, 140. Word Break II"
Pattern 35: Longest Common Subsequence - LCS,"1143. Longest Common Subsequence, 1092. Shortest Common Supersequence,1312. Minimum Insertion Steps to Make a String Palindrome"
Pattern 36: Edit Distance / Levenshtein Distance,"72. Edit Distance, 583. Delete Operation for Two Strings, 712. Minimum ASCII Delete Sum for Two Strings"
